weightScenarioId,rank,candidateId,name,score,baselineRank,bestRank,worstRank,meanRank,top5AppearanceRate,rankStabilityClass,detourSensitivityClass,optimisticImprovementMeters,lowerBoundAdjustedImprovementMeters,conservativeProxyImprovementMeters,twoAxisClassification,isParetoNonDominated
accessPrior_plus_20_percent,3,daredemo-accommodation-西鉄イン新宿-131041-35694278-13969433,西鉄イン新宿,110.06,3,2,4,2.8,1,stable_top5,robust,541,341,141,high_improvement_access_uncertain,true
accessPrior_plus_20_percent,4,daredemo-shopping-ニュウマン新宿-131041-3568856722-1397014075,ニュウマン新宿,96.2,4,3,6,4,0.9333,resilient_top5,marginal,249,34,0,low_priority,false
accessPrior_plus_20_percent,5,daredemo-accommodation-ヒルトン東京-131041-356924779-1396913787,ヒルトン東京,62.78,5,4,6,5.13,0.8,resilient_top5,robust,300,243,186,high_improvement_access_uncertain,true
accessPrior_plus_20_percent,6,daredemo-accommodation-京王プラザホテル-131041-35689954-139694016,京王プラザホテル,62.04,6,5,6,5.73,0.2667,variable,robust,305,227,149,high_improvement_access_uncertain,true
accessPrior_plus_20_percent,7,daredemo-accommodation-ハイアットリージェンシー東京-131041-35691099-139691371,ハイアットリージェンシー東京,3.82,7,7,7,7,0,consistently_outside_top5,robust,205,163,121,high_improvement_access_uncertain,true
accessPrior_plus_20_percent,8,daredemo-accommodation-京王プレッソイン新宿-131041-35685664-139692621,京王プレッソイン新宿,-46.82,8,8,8,8,0,consistently_outside_top5,sensitive,300,131,0,low_priority,false
categoryPenalty_minus_20_percent,1,shinjuku-facility-131041000179,新宿観光振興協会,223.36,1,1,1,1,1,stable_top5,sensitive,300,103,0,low_improvement_easy_to_verify,true
categoryPenalty_minus_20_percent,2,daredemo-accommodation-西鉄イン新宿-131041-35694278-13969433,西鉄イン新宿,152.06,3,2,4,2.8,1,stable_top5,robust,541,341,141,high_improvement_access_uncertain,true
categoryPenalty_minus_20_percent,3,daredemo-shopping-ヨドバシカメラ新宿西口本店-131041-35689815-139697891,ヨドバシカメラ新宿西口本店,117.24,2,2,3,2.33,1,stable_top5,marginal,129,33,0,low_priority,true
categoryPenalty_minus_20_percent,4,daredemo-accommodation-ヒルトン東京-131041-356924779-1396913787,ヒルトン東京,104.78,5,4,6,5.13,0.8,resilient_top5,robust,300,243,186,high_improvement_access_uncertain,true
categoryPenalty_minus_20_percent,5,daredemo-accommodation-京王プラザホテル-131041-35689954-139694016,京王プラザホテル,104.04,6,5,6,5.73,0.2667,variable,robust,305,227,149,high_improvement_access_uncertain,true
categoryPenalty_minus_20_percent,6,daredemo-shopping-ニュウマン新宿-131041-3568856722-1397014075,ニュウマン新宿,94.2,4,3,6,4,0.9333,resilient_top5,marginal,249,34,0,low_priority,false
categoryPenalty_minus_20_percent,7,daredemo-accommodation-ハイアットリージェンシー東京-131041-35691099-139691371,ハイアットリージェンシー東京,45.82,7,7,7,7,0,consistently_outside_top5,robust,205,163,121,high_improvement_access_uncertain,true
categoryPenalty_minus_20_percent,8,daredemo-accommodation-京王プレッソイン新宿-131041-35685664-139692621,京王プレッソイン新宿,-4.82,8,8,8,8,0,consistently_outside_top5,sensitive,300,131,0,low_priority,false
categoryPenalty_plus_20_percent,1,shinjuku-facility-131041000179,新宿観光振興協会,221.36,1,1,1,1,1,stable_top5,sensitive,300,103,0,low_improvement_easy_to_verify,true
categoryPenalty_plus_20_percent,2,daredemo-shopping-ヨドバシカメラ新宿西口本店-131041-35689815-139697891,ヨドバシカメラ新宿西口本店,103.24,2,2,3,2.33,1,stable_top5,marginal,129,33,0,low_priority,true
categoryPenalty_plus_20_percent,3,daredemo-shopping-ニュウマン新宿-131041-3568856722-1397014075,ニュウマン新宿,80.2,4,3,6,4,0.9333,resilient_top5,marginal,249,34,0,low_priority,false
categoryPenalty_plus_20_percent,4,daredemo-accommodation-西鉄イン新宿-131041-35694278-13969433,西鉄イン新宿,64.06,3,2,4,2.8,1,stable_top5,robust,541,341,141,high_improvement_access_uncertain,true
categoryPenalty_plus_20_percent,5,daredemo-accommodation-ヒルトン東京-131041-356924779-1396913787,ヒルトン東京,16.78,5,4,6,5.13,0.8,resilient_top5,robust,300,243,186,high_improvement_access_uncertain,true
categoryPenalty_plus_20_percent,6,daredemo-accommodation-京王プラザホテル-131041-35689954-139694016,京王プラザホテル,16.04,6,5,6,5.73,0.2667,variable,robust,305,227,149,high_improvement_access_uncertain,true
categoryPenalty_plus_20_percent,7,daredemo-accommodation-ハイアットリージェンシー東京-131041-35691099-139691371,ハイアットリージェンシー東京,-42.18,7,7,7,7,0,consistently_outside_top5,robust,205,163,121,high_improvement_access_uncertain,true
categoryPenalty_plus_20_percent,8,daredemo-accommodation-京王プレッソイン新宿-131041-35685664-139692621,京王プレッソイン新宿,-92.82,8,8,8,8,0,consistently_outside_top5,sensitive,300,131,0,low_priority,false
coveredRoutes_minus_20_percent,1,shinjuku-facility-131041000179,新宿観光振興協会,222.36,1,1,1,1,1,stable_top5,sensitive,300,103,0,low_improvement_easy_to_verify,true
coveredRoutes_minus_20_percent,2,daredemo-shopping-ヨドバシカメラ新宿西口本店-131041-35689815-139697891,ヨドバシカメラ新宿西口本店,110.24,2,2,3,2.33,1,stable_top5,marginal,129,33,0,low_priority,true
coveredRoutes_minus_20_percent,3,daredemo-accommodation-西鉄イン新宿-131041-35694278-13969433,西鉄イン新宿,108.06,3,2,4,2.8,1,stable_top5,robust,541,341,141,high_improvement_access_uncertain,true
coveredRoutes_minus_20_percent,4,daredemo-shopping-ニュウマン新宿-131041-3568856722-1397014075,ニュウマン新宿,87.2,4,3,6,4,0.9333,resilient_top5,marginal,249,34,0,low_priority,false
coveredRoutes_minus_20_percent,5,daredemo-accommodation-ヒルトン東京-131041-356924779-1396913787,ヒルトン東京,60.78,5,4,6,5.13,0.8,resilient_top5,robust,300,243,186,high_improvement_access_uncertain,true
coveredRoutes_minus_20_percent,6,daredemo-accommodation-京王プラザホテル-131041-35689954-139694016,京王プラザホテル,60.04,6,5,6,5.73,0.2667,variable,robust,305,227,149,high_improvement_access_uncertain,true
coveredRoutes_minus_20_percent,7,daredemo-accommodation-ハイアットリージェンシー東京-131041-35691099-139691371,ハイアットリージェンシー東京,1.82,7,7,7,7,0,consistently_outside_top5,robust,205,163,121,high_improvement_access_uncertain,true
coveredRoutes_minus_20_percent,8,daredemo-accommodation-京王プレッソイン新宿-131041-35685664-139692621,京王プレッソイン新宿,-48.82,8,8,8,8,0,consistently_outside_top5,sensitive,300,131,0,low_priority,false
coveredRoutes_plus_20_percent,1,shinjuku-facility-131041000179,新宿観光振興協会,222.36,1,1,1,1,1,stable_top5,sensitive,300,103,0,low_improvement_easy_to_verify,true
coveredRoutes_plus_20_percent,2,daredemo-shopping-ヨドバシカメラ新宿西口本店-131041-35689815-139697891,ヨドバシカメラ新宿西口本店,110.24,2,2,3,2.33,1,stable_top5,marginal,129,33,0,low_priority,true
coveredRoutes_plus_20_percent,3,daredemo-accommodation-西鉄イン新宿-131041-35694278-13969433,西鉄イン新宿,108.06,3,2,4,2.8,1,stable_top5,robust,541,341,141,high_improvement_access_uncertain,true
coveredRoutes_plus_20_percent,4,daredemo-shopping-ニュウマン新宿-131041-3568856722-1397014075,ニュウマン新宿,87.2,4,3,6,4,0.9333,resilient_top5,marginal,249,34,0,low_priority,false
coveredRoutes_plus_20_percent,5,daredemo-accommodation-ヒルトン東京-131041-356924779-1396913787,ヒルトン東京,60.78,5,4,6,5.13,0.8,resilient_top5,robust,300,243,186,high_improvement_access_uncertain,true
coveredRoutes_plus_20_percent,6,daredemo-accommodation-京王プラザホテル-131041-35689954-139694016,京王プラザホテル,60.04,6,5,6,5.73,0.2667,variable,robust,305,227,149,high_improvement_access_uncertain,true
coveredRoutes_plus_20_percent,7,daredemo-accommodation-ハイアットリージェンシー東京-131041-35691099-139691371,ハイアットリージェンシー東京,1.82,7,7,7,7,0,consistently_outside_top5,robust,205,163,121,high_improvement_access_uncertain,true
coveredRoutes_plus_20_percent,8,daredemo-accommodation-京王プレッソイン新宿-131041-35685664-139692621,京王プレッソイン新宿,-48.82,8,8,8,8,0,consistently_outside_top5,sensitive,300,131,0,low_priority,false
sourceQuality_minus_20_percent,1,shinjuku-facility-131041000179,新宿観光振興協会,215.16,1,1,1,1,1,stable_top5,sensitive,300,103,0,low_improvement_easy_to_verify,true
sourceQuality_minus_20_percent,2,daredemo-shopping-ヨドバシカメラ新宿西口本店-131041-35689815-139697891,ヨドバシカメラ新宿西口本店,105.44,2,2,3,2.33,1,stable_top5,marginal,129,33,0,low_priority,true
sourceQuality_minus_20_percent,3,daredemo-accommodation-西鉄イン新宿-131041-35694278-13969433,西鉄イン新宿,103.26,3,2,4,2.8,1,stable_top5,robust,541,341,141,high_improvement_access_uncertain,true
sourceQuality_minus_20_percent,4,daredemo-shopping-ニュウマン新宿-131041-3568856722-1397014075,ニュウマン新宿,82.4,4,3,6,4,0.9333,resilient_top5,marginal,249,34,0,low_priority,false
sourceQuality_minus_20_percent,5,daredemo-accommodation-ヒルトン東京-131041-356924779-1396913787,ヒルトン東京,55.98,5,4,6,5.13,0.8,resilient_top5,robust,300,243,186,high_improvement_access_uncertain,true
sourceQuality_minus_20_percent,6,daredemo-accommodation-京王プラザホテル-131041-35689954-139694016,京王プラザホテル,55.24,6,5,6,5.73,0.2667,variable,robust,305,227,149,high_improvement_access_uncertain,true
sourceQuality_minus_20_percent,7,daredemo-accommodation-ハイアットリージェンシー東京-131041-35691099-139691371,ハイアットリージェンシー東京,-2.98,7,7,7,7,0,consistently_outside_top5,robust,205,163,121,high_improvement_access_uncertain,true
sourceQuality_minus_20_percent,8,daredemo-accommodation-京王プレッソイン新宿-131041-35685664-139692621,京王プレッソイン新宿,-53.62,8,8,8,8,0,consistently_outside_top5,sensitive,300,131,0,low_priority,false
sourceQuality_plus_20_percent,1,shinjuku-facility-131041000179,新宿観光振興協会,229.56,1,1,1,1,1,stable_top5,sensitive,300,103,0,low_improvement_easy_to_verify,true
sourceQuality_plus_20_percent,2,daredemo-shopping-ヨドバシカメラ新宿西口本店-131041-35689815-139697891,ヨドバシカメラ新宿西口本店,115.04,2,2,3,2.33,1,stable_top5,marginal,129,33,0,low_priority,true
sourceQuality_plus_20_percent,3,daredemo-accommodation-西鉄イン新宿-131041-35694278-13969433,西鉄イン新宿,112.86,3,2,4,2.8,1,stable_top5,robust,541,341,141,high_improvement_access_uncertain,true
sourceQuality_plus_20_percent,4,daredemo-shopping-ニュウマン新宿-131041-3568856722-1397014075,ニュウマン新宿,92,4,3,6,4,0.9333,resilient_top5,marginal,249,34,0,low_priority,false
sourceQuality_plus_20_percent,5,daredemo-accommodation-ヒルトン東京-131041-356924779-1396913787,ヒルトン東京,65.58,5,4,6,5.13,0.8,resilient_top5,robust,300,243,186,high_improvement_access_uncertain,true
sourceQuality_plus_20_percent,6,daredemo-accommodation-京王プラザホテル-131041-35689954-139694016,京王プラザホテル,64.84,6,5,6,5.73,0.2667,variable,robust,305,227,149,high_improvement_access_uncertain,true
sourceQuality_plus_20_percent,7,daredemo-accommodation-ハイアットリージェンシー東京-131041-35691099-139691371,ハイアットリージェンシー東京,6.62,7,7,7,7,0,consistently_outside_top5,robust,205,163,121,high_improvement_access_uncertain,true
sourceQuality_plus_20_percent,8,daredemo-accommodation-京王プレッソイン新宿-131041-35685664-139692621,京王プレッソイン新宿,-44.02,8,8,8,8,0,consistently_outside_top5,sensitive,300,131,0,low_priority,false
