fieldCheckPriority,candidateId,verificationId,name,address,latitude,longitude,facilityAccessCategory,accessPrior,categoryPenalty,requiresSpecialCaution,dynamicRouteIds,fixedDemoRouteIds,primaryRouteId,numberOfCoveredRoutes,distanceToRouteMeters,estimatedDetourLowerBoundMeters,routeProgressMeters,currentLongestGapMeters,expectedImprovedGapMeters,grossImprovementMeters,grossImprovementRatio,detourAdjustedImprovementMeters,detourAdjustedImprovementRatio,rankingScore,selectionReasonCodes,selectionReasons,categoryReasons,specialCautions,officialSourceIds
1,shinjuku-facility-131041000179,fv-shinjuku-facility-131041000179,新宿観光振興協会,東京都新宿区西新宿6-8-2区立産業会館3階,35.693465,139.690394,public_service_facility,85,5,false,step_avoiding,comfort,step_avoiding,1,197,197,847,1147,847,300,0.2613,103,0.0895,222.3,POSITIVE_DETOUR_ADJUSTED_IMPROVEMENT|PUBLIC_SERVICE_PRIORITY|HIGH_OFFICIAL_SOURCE_QUALITY|DEDUPLICATED_FACILITY|NO_EXISTING_STRICT_DUPLICATE,施設からルートまでの推定直線下限を差し引いても休憩空白の改善が残る|一般利用目的が明確な公共施設を優先|自治体等の構造化された公式情報を根拠にする|同一施設と考えられる複数レコードを1地点として評価|既存のconfirmed / supported地点とは重複しない,名称から区役所・出張所・観光案内等の一般利用目的を確認できる,窓口・開館時間、来訪目的がない場合の入館、休憩スペースの利用条件を確認する。,shinjuku-public-facilities:shinjuku-facility-131041000179|shinjuku-public-facilities:shinjuku-facility-131041000185|shinjuku-public-facilities:shinjuku-facility-131041000192
2,daredemo-shopping-ヨドバシカメラ新宿西口本店-131041-35689815-139697891,fv-daredemo-shopping-ヨドバシカメラ新宿西口本店-131041-35689815-139697891,ヨドバシカメラ新宿西口本店,東京都新宿区西新宿1-11-1,35.689815,139.697891,commercial_facility,45,35,true,wheelchair_profile,comfort|standard,wheelchair_profile,1,96,96,129,1171,1042,129,0.1098,33,0.0278,110.16,POSITIVE_DETOUR_ADJUSTED_IMPROVEMENT|MARGINAL_DETOUR_ADJUSTED_IMPROVEMENT|CLOSE_TO_DYNAMIC_ROUTE_100M|NO_EXISTING_STRICT_DUPLICATE|COMMERCIAL_ACCESS_CONFIRMATION_NEEDED,施設からルートまでの推定直線下限を差し引いても休憩空白の改善が残る|迂回調整後の改善は30〜49mで、効果が限定的か現地で確認する必要がある|代表動的経路から推定直線100m以内|既存のconfirmed / supported地点とは重複しない|商業施設の営業時間・利用条件の確認が必要,商業・飲食・レジャー施設として公式掲載,営業時間、購入を伴わない滞在の可否、座席の利用条件を確認する。,daredemo-shopping:daredemo-shopping-ヨドバシカメラ新宿西口本店-131041-35689815-139697891
3,daredemo-accommodation-西鉄イン新宿-131041-35694278-13969433,fv-daredemo-accommodation-西鉄イン新宿-131041-35694278-13969433,西鉄イン新宿,東京都新宿区西新宿7-23-2,35.694278,139.69433,private_hospitality,10,220,true,step_avoiding,,step_avoiding,1,200,200,606,1147,606,541,0.4716,341,0.2972,108.04,POSITIVE_DETOUR_ADJUSTED_IMPROVEMENT|NO_EXISTING_STRICT_DUPLICATE|PRIVATE_ACCESS_CONFIRMATION_NEEDED,施設からルートまでの推定直線下限を差し引いても休憩空白の改善が残る|既存のconfirmed / supported地点とは重複しない|民間施設のため一般利用条件の確認が必要,宿泊施設として公式掲載されている民間施設,宿泊・飲食利用なしでの入館、着席、営業時間内の一般利用条件を確認する。ホテル掲載を休憩可能の根拠にしない。,daredemo-accommodation:daredemo-accommodation-西鉄イン新宿-131041-35694278-13969433
4,daredemo-shopping-ニュウマン新宿-131041-3568856722-1397014075,fv-daredemo-shopping-ニュウマン新宿-131041-3568856722-1397014075,ニュウマン新宿,東京都新宿区新宿4-1-6,35.688567,139.701407,commercial_facility,45,35,true,wheelchair_profile,,wheelchair_profile,1,215,215,249,1171,922,249,0.2126,34,0.029,87.2,POSITIVE_DETOUR_ADJUSTED_IMPROVEMENT|MARGINAL_DETOUR_ADJUSTED_IMPROVEMENT|NO_EXISTING_STRICT_DUPLICATE|COMMERCIAL_ACCESS_CONFIRMATION_NEEDED,施設からルートまでの推定直線下限を差し引いても休憩空白の改善が残る|迂回調整後の改善は30〜49mで、効果が限定的か現地で確認する必要がある|既存のconfirmed / supported地点とは重複しない|商業施設の営業時間・利用条件の確認が必要,商業・飲食・レジャー施設として公式掲載,営業時間、購入を伴わない滞在の可否、座席の利用条件を確認する。,daredemo-shopping:daredemo-shopping-ニュウマン新宿-131041-3568856722-1397014075
5,daredemo-accommodation-ヒルトン東京-131041-356924779-1396913787,fv-daredemo-accommodation-ヒルトン東京-131041-356924779-1396913787,ヒルトン東京,東京都新宿区西新宿6-6-2,35.692478,139.691379,private_hospitality,10,220,true,step_avoiding,comfort|standard,step_avoiding,1,57,57,847,1147,847,300,0.2613,243,0.2116,60.72,POSITIVE_DETOUR_ADJUSTED_IMPROVEMENT|CLOSE_TO_DYNAMIC_ROUTE_100M|NO_EXISTING_STRICT_DUPLICATE|PRIVATE_ACCESS_CONFIRMATION_NEEDED,施設からルートまでの推定直線下限を差し引いても休憩空白の改善が残る|代表動的経路から推定直線100m以内|既存のconfirmed / supported地点とは重複しない|民間施設のため一般利用条件の確認が必要,宿泊施設として公式掲載されている民間施設,宿泊・飲食利用なしでの入館、着席、営業時間内の一般利用条件を確認する。ホテル掲載を休憩可能の根拠にしない。,daredemo-accommodation:daredemo-accommodation-ヒルトン東京-131041-356924779-1396913787
6,daredemo-accommodation-京王プラザホテル-131041-35689954-139694016,fv-daredemo-accommodation-京王プラザホテル-131041-35689954-139694016,京王プラザホテル,東京都新宿区西新宿2-2-1,35.689954,139.694016,private_hospitality,10,220,true,standard,comfort|standard,standard,1,78,78,514,819,514,305,0.3726,227,0.2774,60.08,POSITIVE_DETOUR_ADJUSTED_IMPROVEMENT|CLOSE_TO_DYNAMIC_ROUTE_100M|NO_EXISTING_STRICT_DUPLICATE|PRIVATE_ACCESS_CONFIRMATION_NEEDED,施設からルートまでの推定直線下限を差し引いても休憩空白の改善が残る|代表動的経路から推定直線100m以内|既存のconfirmed / supported地点とは重複しない|民間施設のため一般利用条件の確認が必要,宿泊施設として公式掲載されている民間施設,宿泊・飲食利用なしでの入館、着席、営業時間内の一般利用条件を確認する。ホテル掲載を休憩可能の根拠にしない。,daredemo-accommodation:daredemo-accommodation-京王プラザホテル-131041-35689954-139694016
7,daredemo-accommodation-ハイアットリージェンシー東京-131041-35691099-139691371,fv-daredemo-accommodation-ハイアットリージェンシー東京-131041-35691099-139691371,ハイアットリージェンシー東京,東京都新宿区西新宿2-7-2,35.691099,139.691371,private_hospitality,10,220,true,step_avoiding,comfort,step_avoiding,1,42,42,942,1147,942,205,0.1787,163,0.1421,1.82,POSITIVE_DETOUR_ADJUSTED_IMPROVEMENT|CLOSE_TO_DYNAMIC_ROUTE_50M|NO_EXISTING_STRICT_DUPLICATE|PRIVATE_ACCESS_CONFIRMATION_NEEDED,施設からルートまでの推定直線下限を差し引いても休憩空白の改善が残る|代表動的経路から推定直線50m以内|既存のconfirmed / supported地点とは重複しない|民間施設のため一般利用条件の確認が必要,宿泊施設として公式掲載されている民間施設,宿泊・飲食利用なしでの入館、着席、営業時間内の一般利用条件を確認する。ホテル掲載を休憩可能の根拠にしない。,daredemo-accommodation:daredemo-accommodation-ハイアットリージェンシー東京-131041-35691099-139691371
8,daredemo-accommodation-京王プレッソイン新宿-131041-35685664-139692621,fv-daredemo-accommodation-京王プレッソイン新宿-131041-35685664-139692621,京王プレッソイン新宿,東京都新宿区西新宿3-4-5,35.685664,139.692621,private_hospitality,10,220,true,wheelchair_profile,,wheelchair_profile,1,169,169,871,1171,871,300,0.2562,131,0.1119,-48.82,POSITIVE_DETOUR_ADJUSTED_IMPROVEMENT|NO_EXISTING_STRICT_DUPLICATE|PRIVATE_ACCESS_CONFIRMATION_NEEDED,施設からルートまでの推定直線下限を差し引いても休憩空白の改善が残る|既存のconfirmed / supported地点とは重複しない|民間施設のため一般利用条件の確認が必要,宿泊施設として公式掲載されている民間施設,宿泊・飲食利用なしでの入館、着席、営業時間内の一般利用条件を確認する。ホテル掲載を休憩可能の根拠にしない。,daredemo-accommodation:daredemo-accommodation-京王プレッソイン新宿-131041-35685664-139692621
