visitPriority,candidateId,name,facilityAccessCategory,primaryRouteId,dynamicRouteIds,optimisticImprovementMeters,lowerBoundAdjustedImprovementMeters,conservativeProxyImprovementMeters,top5AppearanceRate,rankStabilityClass,detourSensitivityClass,twoAxisClassification,isParetoNonDominated,shortlistRole,inclusionReasonCode,inclusionReason,checkItems,caution
1,shinjuku-facility-131041000179,新宿観光振興協会,public_service_facility,step_avoiding,step_avoiding,300,103,0,1,stable_top5,sensitive,low_improvement_easy_to_verify,true,clear_public_verification,CLEAR_PUBLIC_PURPOSE_VERIFICATION,一般利用目的が明確な公共施設を、改善仮定の感度と実際の休憩条件を照合する基準地点として確認する。,一般利用目的がない場合の入館条件|座席または明示された休憩空間|入口から代表経路までの実際の歩行条件|営業時間・利用制限・特別なアクセス条件,候補選定は、現地で休憩できることや現在利用できることを保証しない。
2,daredemo-accommodation-西鉄イン新宿-131041-35694278-13969433,西鉄イン新宿,private_hospitality,step_avoiding,step_avoiding,541,341,141,1,stable_top5,robust,high_improvement_access_uncertain,true,robust_improvement,ROBUST_CONSERVATIVE_PROXY_IMPROVEMENT,往復直線proxyを控除しても意味のある改善が残り、移動改善効果を現地条件と照合する価値がある。,一般利用目的がない場合の入館条件|座席または明示された休憩空間|入口から代表経路までの実際の歩行条件|営業時間・利用制限・特別なアクセス条件,民間施設の掲載や候補選定は、自由な入館、着席、営業中、休憩可能を意味しない。
3,daredemo-accommodation-ヒルトン東京-131041-356924779-1396913787,ヒルトン東京,private_hospitality,step_avoiding,step_avoiding,300,243,186,0.8,resilient_top5,robust,high_improvement_access_uncertain,true,robust_improvement,ROBUST_CONSERVATIVE_PROXY_IMPROVEMENT,往復直線proxyを控除しても意味のある改善が残り、移動改善効果を現地条件と照合する価値がある。,一般利用目的がない場合の入館条件|座席または明示された休憩空間|入口から代表経路までの実際の歩行条件|営業時間・利用制限・特別なアクセス条件,民間施設の掲載や候補選定は、自由な入館、着席、営業中、休憩可能を意味しない。
4,daredemo-accommodation-京王プラザホテル-131041-35689954-139694016,京王プラザホテル,private_hospitality,standard,standard,305,227,149,0.2667,variable,robust,high_improvement_access_uncertain,true,robust_improvement,ROBUST_CONSERVATIVE_PROXY_IMPROVEMENT,往復直線proxyを控除しても意味のある改善が残り、移動改善効果を現地条件と照合する価値がある。,一般利用目的がない場合の入館条件|座席または明示された休憩空間|入口から代表経路までの実際の歩行条件|営業時間・利用制限・特別なアクセス条件,民間施設の掲載や候補選定は、自由な入館、着席、営業中、休憩可能を意味しない。
5,daredemo-shopping-ヨドバシカメラ新宿西口本店-131041-35689815-139697891,ヨドバシカメラ新宿西口本店,commercial_facility,wheelchair_profile,wheelchair_profile,129,33,0,1,stable_top5,marginal,low_priority,true,boundary_model_check,MARGINAL_MODEL_BOUNDARY_CHECK,片道控除後の改善が既存閾値をわずかに上回る境界候補で、迂回仮定の妥当性を現地で検証する価値がある。,一般利用目的がない場合の入館条件|座席または明示された休憩空間|入口から代表経路までの実際の歩行条件|営業時間・利用制限・特別なアクセス条件,民間施設の掲載や候補選定は、自由な入館、着席、営業中、休憩可能を意味しない。
